id,data
0,"(_0:回我妈家 {description: '""\u60f3\u56de\u6211\u5988\u5bb6\u770b\u770b\u7684\u884c\u4e3a\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-f78c243f202163d9f6af2b81d782c38f'})"
1,"(_1:去 {description: '""\u51fa\u884c\u65b9\u5411\u6216\u76ee\u7684\u5730\u3002""<SEP>""\u524d\u5f80\u67d0\u4e2a\u5730\u70b9\u7684\u884c\u52a8\u3002""<SEP>""\u8868\u793a\u524d\u5f80\u7684\u52a8\u4f5c\u3002""<SEP>""\u8868\u793a\u524d\u5f80\u67d0\u4e2a\u5730\u70b9\u7684\u884c\u4e3a\u3002""<SEP>""\u63cf\u8ff0\u4eba\u4eec\u524d\u5f80\u67d0\u4e2a\u5730\u65b9\u7684\u884c\u4e3a\u3002""<SEP>""\u5916\u7525\u5973\u4eca\u5929\u7684\u884c\u4e3a\uff0c\u53bb\u5e7c\u513f\u56ed\u3002""<SEP>""\u8868\u793a\u8bf4\u8c03\u4f11\u548c\u524a\u51cf\u5047\u671f\u7684\u4eba\u53ef\u80fd\u91c7\u53d6\u7684\u884c\u52a8\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-2de5d4f70b91cd7385c6f785b70069d5<SEP>chunk-3fe53ad0f453408551af55589f2fa620<SEP>chunk-e2217c2be0005b679554faf6b9ee197c<SEP>chunk-9ec0c56104ee142317c53f87d5c7eedf<SEP>chunk-3e1ec1bf2cfc12292f38258bf533c6a2<SEP>chunk-256b0d3eab4f2232540a7a6fd21fb41c<SEP>chunk-1489a8eaef66a1413605effe3d3d2a27'})"
2,"(_2:旅行 {description: '""\u4e94\u4e00\u5047\u671f\u53ef\u80fd\u6d89\u53ca\u7684\u6d3b\u52a8\u3002""<SEP>""\u4e94\u4e00\u671f\u95f4\u53ef\u80fd\u7684\u6d3b\u52a8\u4e4b\u4e00\uff0c\u4f46\u53d7\u9650\u4e8e\u7ecf\u6d4e\u6761\u4ef6\u3002""<SEP>""\u5230\u8fbe\u5927\u7406\u53ef\u80fd\u4e0e\u65c5\u884c\u6709\u5173\u3002""<SEP>""\u53bb\u6e56\u5357\u957f\u6c99\u7684\u884c\u4e3a\u3002""<SEP>""\u6307\u4eba\u4eec\u4e3a\u4e86\u89c2\u5149\u3001\u4f11\u95f2\u7b49\u76ee\u7684\u800c\u79bb\u5f00\u5c45\u4f4f\u5730\u5230\u5176\u4ed6\u5730\u65b9\u7684\u6d3b\u52a8\u3002""<SEP>""\u4e94\u4e00\u671f\u95f4\u8003\u8651\u7684\u6d3b\u52a8\u3002""<SEP>""\u8bc4\u8bba\u8005\u65e0\u6cd5\u5b9e\u73b0\u7684\u65c5\u884c\u8ba1\u5212\u3002""<SEP>""\u6d89\u53ca\u79fb\u52a8\u548c\u63a2\u7d22\u7684\u6d3b\u52a8\u3002""<SEP>""\u6d89\u53ca\u65c5\u6e38\u3001\u51fa\u884c\u7b49\u6d3b\u52a8\u7684\u6982\u5ff5\u3002""<SEP>""\u6765\u5580\u4ec0\u5c5e\u4e8e\u65c5\u884c\u6d3b\u52a8\u7684\u4e00\u79cd\u3002""<SEP>""\u6e38\u5ba2\u8ba1\u5212\u524d\u5f80\u4e91\u5357\u7684\u6d3b\u52a8\u3002""<SEP>""\u63d0\u53ca\u7684\u51fa\u884c\u8ba1\u5212\u3002""<SEP>""\u51fa\u53bb\u6e38\u73a9\u7684\u884c\u4e3a\u3002""<SEP>""\u53ef\u80fd\u88ab\u63d0\u53ca\u7684\u4e94\u4e00\u6d3b\u52a8\u4e4b\u4e00\u3002""<SEP>""\u6307\u7684\u662f\u4eba\u4eec\u4e3a\u4e86\u653e\u677e\u8eab\u5fc3\u3001\u4f53\u9a8c\u4e0d\u540c\u6587\u5316\u800c\u8fdb\u884c\u7684\u51fa\u884c\u6d3b\u52a8\u3002""<SEP>""\u6211\u7684\u65c5\u7a0b\u5c5e\u4e8e\u65c5\u884c\u6d3b\u52a8\u7c7b\u522b\u3002""<SEP>""\u4eba\u4eec\u4e3a\u4e86\u4f11\u95f2\u3001\u63a2\u9669\u7b49\u76ee\u7684\u800c\u79bb\u5f00\u5c45\u4f4f\u5730\u5230\u5176\u4ed6\u5730\u65b9\u7684\u6d3b\u52a8\u3002""<SEP>""\u8ba1\u5212\u524d\u5f80\u4fc4\u7f57\u65af\u7684\u6d3b\u52a8\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-3678b4b13326d730801746d7c5b77f97<SEP>chunk-f8e578c8c9847a7d9ae075c2b63ee220<SEP>chunk-80254ce37ef916df4d1398fd01bf45f1<SEP>chunk-10d3c2ae3e17595b0b0c61ca37db7dc5<SEP>chunk-4709ef77603d363665ea72b4d5e091cc<SEP>chunk-7da4ba07f5df33368288a09889ed6ad9<SEP>chunk-7cb68d70c766e5697eccf7ee8239175e<SEP>chunk-7d8c88bc70c403185cdddd5c09e2d6a9<SEP>chunk-9d8894839cb3e5989cb36e22a519403f<SEP>chunk-63f977f5d710f5d98d763d9af863dbd1<SEP>chunk-8660162d9b18323aa7e4c986b72828d3<SEP>chunk-5d6352f7272e5cd00592d9f984718bd6<SEP>chunk-eb6d093bb712a1990c74e8e3cbaf36de<SEP>chunk-9c2ca1f42a2838e5ac01bbc09fad2e26<SEP>chunk-e18e48d4414e2bc9cd21150657f28397<SEP>chunk-7e68a8e3a63095365dddc0a8e7f3f174<SEP>chunk-256b0d3eab4f2232540a7a6fd21fb41c<SEP>chunk-19e21619d73bf980fc8a80fb33d84fb0'})"
3,"(_3:湖南长沙 {description: '""\u6e56\u5357\u7701\u7684\u7701\u4f1a\u57ce\u5e02\u957f\u6c99\u3002""', entity_type: '""\u5730\u7406\u4f4d\u7f6e""', source_id: 'chunk-256b0d3eab4f2232540a7a6fd21fb41c'})"
4,"(_4:长沙 {description: '""\u6211\u7684\u957f\u6c99\uff0c\u6307\u4ee3\u957f\u6c99\u8fd9\u5ea7\u5730\u7406\u4f4d\u7f6e\u3002""<SEP>""\u6e56\u5357\u7701\u4e0b\u8f96\u7684\u957f\u6c99\u5e02\u3002""<SEP>""\u6e56\u5357\u7701\u7684\u7701\u4f1a\u57ce\u5e02\u3002""', entity_type: '""\u5730\u7406\u4f4d\u7f6e""', source_id: 'chunk-256b0d3eab4f2232540a7a6fd21fb41c<SEP>chunk-e34e750840890e2c7420ce7036205245<SEP>chunk-cf28742fe1711b23be461ea597d55bbf'})"
5,"(_5:旅行者 {description: '""\u524d\u5f80\u6e56\u5357\u957f\u6c99\u7684\u4eba\u3002""<SEP>""\u9009\u62e9\u4fbf\u5b9c\u673a\u7968\u7684\u65c5\u5ba2\u3002""<SEP>""\u53ef\u80fd\u5bf9\u5317\u4eac\u4e0d\u4e0b\u96e8\u7684\u5929\u6c14\u611f\u5174\u8da3\u7684\u4eba\u3002""<SEP>""\u9009\u62e9\u53bb\u5929\u6674\u5730\u65b9\u6e38\u73a9\u6216\u89c2\u770b\u6296\u97f3\u7684\u4eba\u3002""<SEP>""\u6307\u53c2\u4e0e\u65c5\u6e38\u6d3b\u52a8\u7684\u4eba\u3002""<SEP>""\u53c2\u4e0e\u65c5\u884c\u6d3b\u52a8\u7684\u4eba\u3002""<SEP>""\u53ef\u80fd\u88ab\u957f\u6625\u5e02\u7684\u6c14\u5019\u548c\u5929\u6c14\u5438\u5f15\u7684\u65c5\u884c\u8005\u3002""', entity_type: '""\u4eba\u7269""', source_id: 'chunk-f8e578c8c9847a7d9ae075c2b63ee220<SEP>chunk-630c6af5c9d294c3605dc971dc8a7388<SEP>chunk-31b6ca283b3018a898464408fcb9527c<SEP>chunk-25a911f3ed6b42e894dd690726c4ec49<SEP>chunk-0cda7de2eeb9064206d6093e00995fe3<SEP>chunk-256b0d3eab4f2232540a7a6fd21fb41c<SEP>chunk-8082b3862a0967f0823e092e186ae352'})"
6,"(_6:湖南 {description: '""\u4f4d\u4e8e\u4e2d\u56fd\u5357\u90e8\uff0c\u4e0b\u96e8\u65f6\u63d0\u4f9b\u907f\u96e8\u7684\u5730\u65b9\u3002""<SEP>""\u6e56\u5357\u5730\u533a\uff0c\u5305\u62ec\u957f\u6c99\u5728\u5185\u7684\u5730\u533a\u3002""<SEP>""\u6e56\u5357\u7701\u7684\u5730\u7406\u4f4d\u7f6e\u3002""<SEP>""\u8bc4\u8bba\u8005\u60f3\u56de\u7684\u7701\u4efd\u3002""', entity_type: '""\u5730\u7406\u4f4d\u7f6e""', source_id: 'chunk-256b0d3eab4f2232540a7a6fd21fb41c<SEP>chunk-ca8ea511ce260ce81d13268cb0bf50df<SEP>chunk-5bdadb02fc71db04215221a2d5539ced<SEP>chunk-cf28742fe1711b23be461ea597d55bbf'})"
7,"(_7:目的地 {description: '""\u4e94\u4e00\u5047\u671f\u51fa\u884c\u53ef\u80fd\u7684\u76ee\u7684\u5730\u3002""<SEP>""\u4e94\u4e00\u65c5\u6e38\u53ef\u80fd\u7684\u76ee\u7684\u5730\u7c7b\u578b\u3002""<SEP>""\u5580\u4ec0\u4f5c\u4e3a\u65c5\u6e38\u76ee\u7684\u5730\u7684\u6982\u5ff5\u3002""<SEP>""\u65c5\u884c\u6240\u5230\u8fbe\u7684\u5730\u65b9\u3002""<SEP>""\u8ba1\u5212\u6e38\u6cf3\u7684\u5177\u4f53\u5730\u70b9\u3002""<SEP>""\u6307\u4eba\u4eec\u9009\u62e9\u6e38\u73a9\u7684\u5730\u70b9\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-3678b4b13326d730801746d7c5b77f97<SEP>chunk-472176888580765743e0207d36b75a56<SEP>chunk-23eea04adf495f3356f68c2bd610e473<SEP>chunk-7a428ab5426b2d91139b2c8562c4aeea<SEP>chunk-eb6d093bb712a1990c74e8e3cbaf36de<SEP>chunk-256b0d3eab4f2232540a7a6fd21fb41c'})"
8,"(_8:手机用户 {description: '""\u4f7f\u7528\u624b\u673a\u8fdb\u884c\u6d3b\u52a8\u7684\u4eba\u3002""<SEP>""\u4f7f\u7528\u624b\u673a\u8fdb\u884c\u89c2\u770b\u7b49\u64cd\u4f5c\u7684\u4eba\u3002""', entity_type: '""\u4eba\u7269""', source_id: 'chunk-5c75d6d0d4f559115a2ed75c5cdd86e9<SEP>chunk-396cd593a74b67e39c8e30b093313657'})"
9,"(_9:观看内容 {description: '""\u53ef\u4ee5\u901a\u8fc7\u624b\u673a\u89c2\u770b\u7684\u5404\u79cd\u4fe1\u606f\u6216\u5a31\u4e50\u5185\u5bb9\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-5c75d6d0d4f559115a2ed75c5cdd86e9'})"
10,"(_10:手机 {description: '""\u4e00\u79cd\u4fbf\u643a\u5f0f\u901a\u4fe1\u5de5\u5177\uff0c\u53ef\u7528\u4e8e\u89c2\u770b\u5404\u79cd\u5185\u5bb9\u3002""<SEP>""\u7528\u4e8e\u5a31\u4e50\u548c\u901a\u8baf\u7684\u4fbf\u643a\u5f0f\u7535\u5b50\u8bbe\u5907\u3002""<SEP>""\u7528\u4e8e\u5145\u7535\u548c\u5168\u7403\u6e38\u7684\u7535\u5b50\u8bbe\u5907\u3002""<SEP>""\u738b\u6c6a\u65fa\u73a9\u6e38\u620f\u7684\u8bbe\u5907\u3002""<SEP>""\u6307\u4fbf\u643a\u5f0f\u7535\u5b50\u8bbe\u5907\uff0c\u7528\u4e8e\u901a\u4fe1\u548c\u5a31\u4e50\u3002""<SEP>""\u4eba\u7269\u7528\u6765\u73a9\u624b\u673a\u7684\u5de5\u5177\u3002""<SEP>""\u5c0f\u7c73\u624b\u673a\u5c5e\u4e8e\u7535\u5b50\u4ea7\u54c1\u7c7b\u522b\u3002""<SEP>""\u5728\u4e92\u8054\u7f51\u73af\u5883\u4e0b\uff0c\u7528\u4e8e\u6c9f\u901a\u548c\u5de5\u4f5c\u7684\u5de5\u5177\u3002""<SEP>""\u6587\u4e2d\u63d0\u5230\u7684\u7c7b\u522b\uff0c\u53ef\u80fd\u662f\u71ac\u591c\u548c\u73a9\u591a\u7684\u4e8b\u4ef6\u7684\u8f7d\u4f53\u3002""<SEP>""\u5378\u8f7d\u6e38\u620f\u6240\u4f7f\u7528\u7684\u8bbe\u5907\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-80c758afa53d11824204a6df5504efa4<SEP>chunk-71f5b55a1bdf24966c5b65bf3db18429<SEP>chunk-58c85b0045f6c6377f10181284c99382<SEP>chunk-d4a16f2a30c38a4fdbc2a69e8aaf5b99<SEP>chunk-396cd593a74b67e39c8e30b093313657<SEP>chunk-9c2ca1f42a2838e5ac01bbc09fad2e26<SEP>chunk-5c75d6d0d4f559115a2ed75c5cdd86e9<SEP>chunk-5da2514cb8e1380f8d5bd4d57a7cc8f8<SEP>chunk-b2ce4d6f472fa5735565b7fe256ff0ac<SEP>chunk-3c77772cd3e597dd54a6665f83faafa7'})"
11,"(_11:便携式 {description: '""\u4fbf\u4e8e\u643a\u5e26\u7684\u8bbe\u5907\uff0c\u624b\u673a\u662f\u5176\u4e2d\u7684\u4ee3\u8868\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-5c75d6d0d4f559115a2ed75c5cdd86e9'})"
12,"(_12:通信工具 {description: '""\u7528\u4e8e\u901a\u4fe1\u7684\u8bbe\u5907\uff0c\u624b\u673a\u662f\u5176\u4e2d\u4e4b\u4e00\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-5c75d6d0d4f559115a2ed75c5cdd86e9'})"
13,"(_13:通信 {description: '""\u624b\u673a\u53ef\u4ee5\u8fdb\u884c\u901a\u4fe1\u3002""', entity_type: '""UNKNOWN""', source_id: 'chunk-5c75d6d0d4f559115a2ed75c5cdd86e9'})"
14,"(_14:观看 {description: '""\u5728\u5927\u8857\u4e0a\u8fdb\u884c\u7684\u6d3b\u52a8\u3002""<SEP>""\u624b\u673a\u5177\u6709\u89c2\u770b\u5185\u5bb9\u7684\u529f\u80fd\u3002""<SEP>""\u89c2\u770b\u662f\u6307\u7528\u6237\u5728\u6296\u97f3\u4e0a\u6d4f\u89c8\u89c6\u9891\u7684\u884c\u4e3a\u3002""<SEP>""\u6307\u89c2\u770b\u6216\u6e38\u89c8\u9ea6\u7530\u7684\u6d3b\u52a8\u3002""<SEP>""\u5b85\u5bb6\u4eba\u58eb\u5728\u6296\u97f3\u4e0a\u89c2\u770b\u666f\u70b9\u89c6\u9891\u7684\u884c\u4e3a\u3002""<SEP>""\u5927\u5bb6\u89c2\u770b\u5362\u9e92\u5143\u89c6\u9891\u7684\u884c\u4e3a\u3002""<SEP>""\u5b66\u751f\u88ab\u8981\u6c42\u8fdb\u884c\u7684\u6d3b\u52a8\u3002""<SEP>""\u6d89\u53ca\u9752\u5e74\u5927\u5b66\u4e60\u7684\u89c2\u770b\u884c\u4e3a\u3002""<SEP>""\u9752\u5e74\u89c2\u770b\u9752\u5e74\u5927\u5b66\u4e60\u7684\u884c\u4e3a\u3002""<SEP>""\u89c2\u770b\u2018\u90a3\u7834\u73a9\u610f\u2019\u8fd9\u4e00\u52a8\u4f5c\u3002""<SEP>""\u6d89\u53ca\u89c2\u770b\u6d3b\u52a8\u7684\u4e8b\u4ef6\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-71203a16f46113b4769b8bcdd4c0e495<SEP>chunk-0737c12704405b7bec0bc353eb4dc20e<SEP>chunk-13463d922cec46c2deae6f63a96bd8c3<SEP>chunk-95d6827dd7b44cd943eec6641476b1d4<SEP>chunk-450c1c4d7ca5c96857f524503bed2dd1<SEP>chunk-35ff0f68bdbc543c0905928dcb1df36c<SEP>chunk-1ac7c1de916b3baed24ca104a6f062a4<SEP>chunk-5c75d6d0d4f559115a2ed75c5cdd86e9<SEP>chunk-c4caa4518ddf80872b1b6f15c67b6bf0<SEP>chunk-de855e626a0e0a1b383599c50a0c8ee3<SEP>chunk-ea0c64776ffc6e623842fec102c98b40'})"
15,"(_15:航班 {description: '""\u4e0e\u4fbf\u5b9c\u673a\u7968\u76f8\u5173\u7684\u822a\u73ed\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-25a911f3ed6b42e894dd690726c4ec49'})"
16,"(_16:旅行预算 {description: '""\u5f71\u54cd\u65c5\u884c\u8005\u9009\u62e9\u673a\u7968\u548c\u9152\u5e97\u7684\u56e0\u7d20\u3002""', entity_type: '""\u6982\u5ff5""', source_id: 'chunk-25a911f3ed6b42e894dd690726c4ec49'})"
17,"(_17:便宜机票 {description: '""\u673a\u7968\u4ef7\u683c\u4f4e\uff0c\u9002\u5408\u9884\u7b97\u6709\u9650\u7684\u65c5\u5ba2\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-25a911f3ed6b42e894dd690726c4ec49'})"
18,"(_18:航空公司 {description: '""\u63d0\u4f9b\u4fbf\u5b9c\u673a\u7968\u7684\u822a\u7a7a\u516c\u53f8\u3002""', entity_type: '""\u7ec4\u7ec7""', source_id: 'chunk-25a911f3ed6b42e894dd690726c4ec49'})"
19,"(_19:价格敏感度 {description: '""\u65c5\u884c\u8005\u5bf9\u4ef7\u683c\u654f\u611f\u6027\u7684\u63cf\u8ff0\u3002""', entity_type: '""\u6982\u5ff5""', source_id: 'chunk-25a911f3ed6b42e894dd690726c4ec49'})"
20,"(_20:昂贵酒店 {description: '""\u9152\u5e97\u4ef7\u683c\u8f83\u9ad8\uff0c\u53ef\u80fd\u9700\u8981\u989d\u5916\u9884\u7b97\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-25a911f3ed6b42e894dd690726c4ec49'})"
21,"(_21:酒店 {description: '""\u4ef7\u683c\u6602\u8d35\uff0c\u4e0d\u9002\u5408\u2018\u6211\u2019\u7b49\u5b69\u5b50\u51fa\u56fd\u73a9\u7684\u5730\u65b9\u3002""<SEP>""\u4ef7\u683c\u8f83\u9ad8\u7684\u9152\u5e97\u3002""<SEP>""\u63d0\u4f9b\u4f4f\u5bbf\u670d\u52a1\u7684\u673a\u6784\u3002""<SEP>""\u65c5\u6e38\u4f4f\u5bbf\u7684\u4e00\u79cd\u7c7b\u578b\u3002""<SEP>""\u63d0\u4f9b\u4f4f\u5bbf\u670d\u52a1\u7684\u673a\u6784\u3002""<SEP>""\u63d0\u4f9b\u4f4f\u5bbf\u670d\u52a1\u7684\u5546\u4e1a\u8bbe\u65bd\u3002""<SEP>""\u63d0\u4f9b\u4f4f\u5bbf\u670d\u52a1\u7684\u673a\u6784\u3002""<SEP>""\u5e72\u9152\u5e97\u7684\u4eba\u6240\u5728\u7684\u884c\u4e1a\u7ec4\u7ec7\u3002""<SEP>""\u63d0\u4f9b\u4f4f\u5bbf\u670d\u52a1\u7684\u9152\u5e97\u7ec4\u7ec7\u3002""<SEP>""\u9884\u5b9a\u4f46\u56e0\u5929\u6c14\u539f\u56e0\u65e0\u6cd5\u4f7f\u7528\u7684\u9152\u5e97\u3002""<SEP>""\u63d0\u4f9b\u4f4f\u5bbf\u670d\u52a1\u7684\u673a\u6784\uff0c\u957f\u5047\u671f\u95f4\u53ef\u80fd\u56e0\u4e3a\u9700\u6c42\u589e\u52a0\u800c\u4ef7\u683c\u4e0a\u6da8\u3002""<SEP>""\u63d0\u4f9b\u4f4f\u5bbf\u670d\u52a1\u7684\u884c\u4e1a\uff0c\u5c5e\u4e8e\u670d\u52a1\u884c\u4e1a\u7684\u4e00\u90e8\u5206\u3002""<SEP>""\u63d0\u4f9b\u4f4f\u5bbf\u670d\u52a1\u7684\u884c\u4e1a\u3002""<SEP>""\u5e38\u7528\u4e8e\u4e3e\u529e\u5a5a\u793c\u7684\u9152\u5e97\u573a\u6240\u3002""<SEP>""\u5047\u671f\u671f\u95f4\u4f4f\u5bbf\u4ef7\u683c\u4e0a\u6da8\u7684\u9152\u5e97\u3002""', entity_type: '""\u7ec4\u7ec7""', source_id: 'chunk-793105f43678d27e571c922afb525474<SEP>chunk-af6ca6b6e94e53bb74179419f4ee46ce<SEP>chunk-5dd0eed9f7b4929b5c94fbe9af38a4f6<SEP>chunk-1d648601b7dffe33b01ca77d3d822473<SEP>chunk-f9f89bc755424d155eb97e1b5093e46b<SEP>chunk-4deaf19fe837ef7c77a27659c896362f<SEP>chunk-129d16320dd4754a1a61349236678162<SEP>chunk-221dbbfdc3f5abbf4905fa13b2a9c2c6<SEP>chunk-58c85b0045f6c6377f10181284c99382<SEP>chunk-07f49b9fbb00b809d49ee189510a150a<SEP>chunk-25a911f3ed6b42e894dd690726c4ec49<SEP>chunk-8c76e98ac527b9667e5cddf139d054ba<SEP>chunk-4ed29871bfa9f6a5d591db891eb3ae9c<SEP>chunk-a9ca85ff93948f3601e850c894dd5185<SEP>chunk-c56d555b691e569aae591084b30c7ce1'})"
